X0             Y0             Theta          X              Y              
15.0000        15.0000        3.2288         10.0005        14.5628        
15.0000        15.0000        3.4034         10.0004        13.6605        
15.0000        15.0000        3.5779         10.0004        12.6688        
15.0000        15.0000        3.7524         10.0004        11.4993        
15.0000        15.0000        3.9270         10.0003        10.0003        
15.0000        15.0000        4.1015         11.4993        10.0004        
15.0000        15.0000        4.2761         12.6688        10.0004        
15.0000        15.0000        4.4506         13.6605        10.0004        
15.0000        15.0000        4.6252         14.5628        10.0005        
15.0000        15.0000        4.7997         15.4377        10.0004        
15.0000        15.0000        4.9743         16.3400        10.0004        
15.0000        15.0000        5.1488         17.3318        10.0004        
15.0000        15.0000        5.3233         18.5014        10.0005        
15.0000        15.0000        5.4979         20.0005        10.0006        
15.0000        15.0000        -0.6108        20.0008        11.4992        
15.0000        15.0000        -0.4363        20.0008        12.6687        
15.0000        15.0000        -0.2617        20.0009        13.6606        
15.0000        15.0000        -0.0872        20.0010        14.5629        
15.0000        15.0000        0.0873         20.0010        15.4378        
15.0000        15.0000        0.2618         20.0010        16.3402        
15.0000        15.0000        0.4364         20.0010        17.3321        
15.0000        15.0000        0.6109         20.0010        18.5018        
15.0000        15.0000        0.7854         20.0009        20.0012        
15.0000        15.0000        0.9599         18.5020        20.0010        
15.0000        15.0000        1.1344         17.3323        20.0010        
15.0000        15.0000        1.3090         16.3403        20.0010        
15.0000        15.0000        1.4835         15.4379        20.0010        
15.0000        15.0000        1.6580         14.5630        20.0009        
15.0000        15.0000        1.8325         13.6607        20.0008        
15.0000        15.0000        2.0071         12.6689        20.0008        
15.0000        15.0000        2.1816         11.4994        20.0008        
15.0000        15.0000        2.3561         10.0006        20.0009        
15.0000        15.0000        2.5306         10.0005        18.5014        
15.0000        15.0000        2.7052         10.0004        17.3318        
15.0000        15.0000        2.8797         10.0004        16.3400        
15.0000        15.0000        3.0543         10.0004        15.4377        
15.0000        25.0000        3.2288         10.0006        24.5631        
15.0000        25.0000        3.4033         10.0006        23.6609        
15.0000        25.0000        3.5779         10.0005        22.6691        
15.0000        25.0000        3.7524         10.0005        21.4996        
15.0000        25.0000        3.9270         10.0006        20.0009        
15.0000        25.0000        4.1015         11.4994        20.0008        
15.0000        25.0000        4.2761         12.6689        20.0008        
15.0000        25.0000        4.4507         13.6607        20.0008        
15.0000        25.0000        4.6252         14.5630        20.0009        
15.0000        25.0000        4.7998         15.4379        20.0010        
15.0000        25.0000        4.9744         16.3403        20.0010        
15.0000        25.0000        5.1489         17.3323        20.0010        
15.0000        25.0000        5.3235         18.5020        20.0010        
15.0000        25.0000        5.4981         20.0009        20.0012        
15.0000        25.0000        -0.6106        20.0012        21.5002        
15.0000        25.0000        -0.4361        20.0013        22.6694        
15.0000        25.0000        -0.2616        20.0014        23.6611        
15.0000        25.0000        -0.0871        20.0014        24.5634        
15.0000        25.0000        0.0874         20.0015        25.4383        
15.0000        25.0000        0.2619         20.0016        26.3406        
15.0000        25.0000        0.4364         20.0017        27.3326        
15.0000        25.0000        0.6109         20.0018        28.5023        
15.0000        25.0000        0.7854         20.0021        30.0019        
15.0000        25.0000        0.9599         18.5023        30.0015        
15.0000        25.0000        1.1344         17.3325        30.0014        
15.0000        25.0000        1.3089         16.3406        30.0014        
15.0000        25.0000        1.4834         15.4382        30.0012        
15.0000        25.0000        1.6579         14.5633        30.0012        
15.0000        25.0000        1.8325         13.6609        30.0012        
15.0000        25.0000        2.0070         12.6692        30.0012        
15.0000        25.0000        2.1815         11.4998        30.0012        
15.0000        25.0000        2.3560         10.0010        30.0014        
15.0000        25.0000        2.5306         10.0007        28.5019        
15.0000        25.0000        2.7051         10.0006        27.3322        
15.0000        25.0000        2.8797         10.0006        26.3403        
15.0000        25.0000        3.0542         10.0005        25.4380        
15.0000        35.0000        3.2288         10.0009        34.5631        
15.0000        35.0000        3.4033         10.0008        33.6608        
15.0000        35.0000        3.5779         10.0008        32.6691        
15.0000        35.0000        3.7524         10.0007        31.4996        
15.0000        35.0000        3.9270         10.0010        30.0014        
15.0000        35.0000        4.1016         11.4998        30.0012        
15.0000        35.0000        4.2761         12.6692        30.0012        
15.0000        35.0000        4.4507         13.6609        30.0012        
15.0000        35.0000        4.6253         14.5633        30.0012        
15.0000        35.0000        4.7998         15.4382        30.0012        
15.0000        35.0000        4.9744         16.3406        30.0014        
15.0000        35.0000        5.1490         17.3325        30.0014        
